case_id,vin_fraction,vin_v,ngspice_vout_v,xyce_vout_v,absolute_vout_difference_v,ngspice_supply_current_a,xyce_supply_current_a,absolute_supply_current_difference_a
v100_t050_r0125,0.68,0.068,0.00948399462005317,0.009484443613337307,4.489932841373473e-07,2.392580673991692e-08,2.3925609442750474e-08,1.9729716644486307e-13
v100_t050_r0125,0.6900000000000001,0.069,0.009416369117007493,0.009416810963174491,4.4184616699791124e-07,2.395718359358073e-08,2.3956989186626436e-08,1.9440695429511032e-13
v100_t050_r0125,0.7000000000000001,0.07,0.009349625040133194,0.009350059863107303,4.348229741095444e-07,2.398817239953853e-08,2.398798083979359e-08,1.9155974493937232e-13
v100_t050_r0125,0.71,0.071,0.009283748342317375,0.009284176263886626,4.2792156925049174e-07,2.401877886150621e-08,2.4018590106474037e-08,1.887550321728927e-13
v100_t050_r0125,0.72,0.072,0.009218725221177698,0.009219146361022288,4.211398445894826e-07,2.404900859740555e-08,2.4048822605098677e-08,1.8599230687262185e-13
v100_t050_r0125,0.73,0.073,0.009154542114788276,0.009154956590509735,4.1447572145941747e-07,2.407886714041695e-08,2.4078683869359242e-08,1.8327105770859234e-13
v100_t050_r0125,0.74,0.074,0.009091185697465833,0.009091593624616215,4.0792715038165395e-07,2.410835994003555e-08,2.410817934926373e-08,1.8059077181889821e-13
v100_t050_r0125,0.75,0.07500000000000001,0.009028642875616612,0.009029044367727418,4.014921108057984e-07,2.413749236312916e-08,2.4137314412194085e-08,1.7795093507439282e-13
v100_t050_r0125,0.76,0.07600000000000001,0.008966900783643815,0.008967295952255526,3.9516861171165485e-07,2.416626969499719e-08,2.4166094343964227e-08,1.753510329621177e-13
v100_t050_r0125,0.77,0.07700000000000001,0.008905946779916053,0.00890633573460764,3.8895469158667373e-07,2.419469714042936e-08,2.4194524349878453e-08,1.7279055090624869e-13
v100_t050_r0125,0.78,0.07800000000000001,0.008845768442796656,0.008846151291214606,3.828484179506375e-07,2.422277982476364e-08,2.4222609555789095e-08,1.7026897454602855e-13
v100_t050_r0125,0.79,0.07900000000000001,0.00878635356673353,0.008786730414621365,3.7684788783444445e-07,2.425052279494214e-08,2.4250355009151654e-08,1.6778579048684703e-13
