row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
93,train_t02_dual_secondary_m0p3:027,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.85,0.01,1.0208528919573316e-32,1.8145782437269831e-05,1.8145782437269831e-05,15.258775699506122
94,train_t02_dual_secondary_m0p3:028,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.9,0.01,1.0208528919573316e-32,1.9301774358577786e-05,1.9301774358577786e-05,15.285597234329995
95,train_t02_dual_secondary_m0p3:029,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,0.95,0.01,1.0208528919573316e-32,2.0431253347337038e-05,2.0431253347337038e-05,15.310295009076718
96,train_t02_dual_secondary_m0p3:030,train_t02_dual_secondary_m0p3,train,transfer,symmetric_dual_gate,scored,1.0,0.01,1.0208528919573316e-32,2.1537412695859065e-05,2.1537412695859065e-05,15.33319353000183
97,train_t02_dual_secondary_p0p3:000,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.5,0.01,1.0208528919573316e-32,8.0352608346769067e-08,8.0352608346769067e-08,12.904999979073509
98,train_t02_dual_secondary_p0p3:001,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.45,0.01,1.0208528919573316e-32,2.1219495476328748e-07,2.1219495476328748e-07,13.326735053719364
99,train_t02_dual_secondary_p0p3:002,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.4,0.01,1.0208528919573316e-32,5.1848040845797078e-07,5.1848040845797078e-07,13.714732350581674
100,train_t02_dual_secondary_p0p3:003,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.35,0.01,1.0208528919573316e-32,1.1347247413721522e-06,1.1347247413721522e-06,14.054890524259315
101,train_t02_dual_secondary_p0p3:004,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.3,0.01,1.0208528919573316e-32,2.1689928627233429e-06,2.1689928627233429e-06,14.336258122929376
102,train_t02_dual_secondary_p0p3:005,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.25,0.01,1.0208528919573316e-32,3.6006507865342801e-06,3.6006507865342801e-06,14.556381002838805
103,train_t02_dual_secondary_p0p3:006,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.2,0.01,1.0208528919573316e-32,5.2746309974238341e-06,5.2746309974238341e-06,14.722192082663931
104,train_t02_dual_secondary_p0p3:007,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.15,0.01,1.0208528919573316e-32,7.0101011550876265e-06,7.0101011550876265e-06,14.845724284839612
105,train_t02_dual_secondary_p0p3:008,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.1,0.01,1.0208528919573316e-32,8.6903684423212757e-06,8.6903684423212757e-06,14.939038189460748
106,train_t02_dual_secondary_p0p3:009,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,-0.05,0.01,1.0208528919573316e-32,1.0271257533827911e-05,1.0271257533827911e-05,15.011623618530901
107,train_t02_dual_secondary_p0p3:010,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.0,0.01,1.0208528919573316e-32,1.175112652232194e-05,1.175112652232194e-05,15.070079502265354
108,train_t02_dual_secondary_p0p3:011,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.05,0.01,1.0208528919573316e-32,1.3144364293803414e-05,1.3144364293803414e-05,15.118739586990928
109,train_t02_dual_secondary_p0p3:012,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.1,0.01,1.0208528919573316e-32,1.4467775633109624e-05,1.4467775633109624e-05,15.160401765084192
110,train_t02_dual_secondary_p0p3:013,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.15,0.01,1.0208528919573316e-32,1.5735684095559227e-05,1.5735684095559227e-05,15.196885628245001
111,train_t02_dual_secondary_p0p3:014,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.2,0.01,1.0208528919573316e-32,1.6959020240564963e-05,1.6959020240564963e-05,15.229400758509897
112,train_t02_dual_secondary_p0p3:015,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.25,0.01,1.0208528919573316e-32,1.8145782437269831e-05,1.8145782437269831e-05,15.258775699506122
113,train_t02_dual_secondary_p0p3:016,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.3,0.01,1.0208528919573316e-32,1.9301774358577786e-05,1.9301774358577786e-05,15.285597234329995
114,train_t02_dual_secondary_p0p3:017,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.35,0.01,1.0208528919573316e-32,2.0431253347337038e-05,2.0431253347337038e-05,15.310295009076718
115,train_t02_dual_secondary_p0p3:018,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.4,0.01,1.0208528919573316e-32,2.1537412695859065e-05,2.1537412695859065e-05,15.33319353000183
116,train_t02_dual_secondary_p0p3:019,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.45,0.01,1.0208528919573316e-32,2.2622715442843821e-05,2.2622715442843821e-05,15.354544732820354
117,train_t02_dual_secondary_p0p3:020,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.5,0.01,1.0208528919573316e-32,2.3689117800742529e-05,2.3689117800742529e-05,15.374548887594717
118,train_t02_dual_secondary_p0p3:021,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.55,0.01,1.0208528919573316e-32,2.4738216837247494e-05,2.4738216837247494e-05,15.393368391911793
119,train_t02_dual_secondary_p0p3:022,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.6,0.01,1.0208528919573316e-32,2.5771348199954087e-05,2.5771348199954087e-05,15.411137138787032
120,train_t02_dual_secondary_p0p3:023,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.65,0.01,1.0208528919573316e-32,2.678965151898462e-05,2.678965151898462e-05,15.427967064322416
121,train_t02_dual_secondary_p0p3:024,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.7,0.01,1.0208528919573316e-32,2.7794115026178312e-05,2.7794115026178312e-05,15.443952850514673
122,train_t02_dual_secondary_p0p3:025,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.75,0.01,1.0208528919573316e-32,2.8785606764351609e-05,2.8785606764351609e-05,15.459175388268569
123,train_t02_dual_secondary_p0p3:026,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.8,0.01,1.0208528919573316e-32,2.9764897045989517e-05,2.9764897045989517e-05,15.473704384706149
124,train_t02_dual_secondary_p0p3:027,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.85,0.01,1.0208528919573316e-32,3.0732675098775747e-05,3.0732675098775747e-05,15.487600364684374
125,train_t02_dual_secondary_p0p3:028,train_t02_dual_secondary_p0p3,train,transfer,symmetric_dual_gate,scored,0.9,0.01,1.0208528919573316e-32,3.1689561758862559e-05,3.1689561758862559e-05,15.500916233288635
