route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.21,0.042,0.05806182171491577,7.005521837841146e-08,1.4011043675682294e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.22,0.044000000000000004,0.056822540847029195,7.104820961600936e-08,1.4209641923201873e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.23,0.046000000000000006,0.05562009046930667,7.201736268782599e-08,1.4403472537565198e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.24,0.048,0.05445415250911834,7.296240711715066e-08,1.4592481423430133e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.25,0.05,0.05332427347426597,7.388320732258093e-08,1.4776641464516186e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.26,0.052000000000000005,0.05222988242870084,7.477974994499554e-08,1.495594998899911e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.27,0.054000000000000006,0.05117030860041392,7.565213077193014e-08,1.513042615438603e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.28,0.05600000000000001,0.050144798226637706,7.650054166423316e-08,1.5300108332846632e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.29,0.057999999999999996,0.04915253034440175,7.732525781196478e-08,1.5465051562392958e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.3,0.06,0.04819263132865784,7.8126625570208e-08,1.5625325114041598e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.31,0.062,0.04726418806212212,7.890505105498676e-08,1.5781010210997354e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.32,0.064,0.04636625968905036,7.966098961743873e-08,1.5932197923487746e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.33,0.066,0.045497887959174824,8.03949362620253e-08,1.607898725240506e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.34,0.068,0.044658106208829235,8.110741703212873e-08,1.6221483406425746e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.35000000000000003,0.07,0.0438459470553067,8.179898135338745e-08,1.635979627067749e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.36,0.072,0.04306044889951885,8.247019530062896e-08,1.6494039060125795e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.37,0.074,0.042300661342867245,8.312163573710139e-08,1.662432714742028e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.38,0.07600000000000001,0.041565649628690304,8.375388526363375e-08,1.6750777052726753e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.39,0.07800000000000001,0.04085449821826167,8.436752790916816e-08,1.6873505581833632e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.4,0.08000000000000002,0.04016631360747764,8.496314549170362e-08,1.6992629098340723e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.41000000000000003,0.08200000000000002,0.03950022648418733,8.554131457910621e-08,1.710826291582124e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.42,0.084,0.03885539331848899,8.610260398167699e-08,1.72205207963354e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.43,0.08600000000000001,0.03823099746993849,8.664757271215931e-08,1.7329514542431863e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.44,0.08800000000000001,0.037626249886992,8.717676835350929e-08,1.7435353670701857e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.45,0.09000000000000001,0.037040389465517375,8.769072577983077e-08,1.7538145155966153e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.46,0.09200000000000001,0.03647268312509467,8.818996618111182e-08,1.7637993236222365e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.47000000000000003,0.09400000000000001,0.035922425654257455,8.867499634756894e-08,1.7734999269513786e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.48,0.096,0.03538893936888086,8.914630817437054e-08,1.7829261634874108e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.49,0.098,0.0348715736216516,8.9604378352169e-08,1.7920875670433803e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.5,0.1,0.03436970419494682,9.004966821318152e-08,1.8009933642636306e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.51,0.10200000000000001,0.03388273260449693,9.048262370647824e-08,1.809652474129565e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.52,0.10400000000000001,0.033410085336859484,9.09036754796766e-08,1.8180735095935323e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.53,0.10600000000000001,0.03295121303995065,9.131323904739769e-08,1.826264780947954e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.54,0.10800000000000001,0.032505589682610116,9.171171502964118e-08,1.8342343005928238e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.55,0.11000000000000001,0.03207271169636417,9.209948944569935e-08,1.841989788913987e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.56,0.11200000000000002,0.031652097110146105,9.247693405139349e-08,1.8495386810278697e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.5700000000000001,0.11400000000000002,0.031243284686689077,9.284440670929303e-08,1.8568881341858607e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.58,0.11599999999999999,0.030845833067573873,9.320225178321125e-08,1.864045035664225e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.59,0.118,0.03045931993245174,9.355080054968365e-08,1.8710160109936732e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.6,0.12,0.0300833411767396,9.389037162034413e-08,1.8778074324068825e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.61,0.122,0.029717510111059456,9.422127137015981e-08,1.8844254274031965e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.62,0.124,0.0293614566848429,9.454379436737513e-08,1.8908758873475026e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.63,0.126,0.02901482673581947,9.485822380177275e-08,1.8971644760354552e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.64,0.128,0.028677281266526657,9.516483190850836e-08,1.9032966381701675e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.65,0.13,0.028348495748508337,9.546388038532123e-08,1.9092776077064248e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.66,0.132,0.02802815945448465,9.57556208013842e-08,1.9151124160276842e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.67,0.134,0.027715974818466722,9.604029499644882e-08,1.9208058999289764e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.68,0.136,0.02741165682354573,9.631813546926418e-08,1.926362709385284e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.6900000000000001,0.138,0.027114932416891425,9.658936575452552e-08,1.9317873150905104e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.7000000000000001,0.14,0.026825539951347035,9.685420078783139e-08,1.937084015756628e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.71,0.142,0.026543228652893127,9.711284725832155e-08,1.942256945166431e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.72,0.144,0.026267758113172605,9.73655039488173e-08,1.947310078976346e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.73,0.146,0.025998897806206584,9.761236206342027e-08,1.9522472412684056e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.74,0.148,0.02573642662839653,9.785360554262117e-08,1.9570721108524234e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.75,0.15000000000000002,0.025480132460883577,9.808941136606007e-08,1.9617882273212015e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.76,0.15200000000000002,0.025229811753328394,9.831994984314165e-08,1.966398996862833e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.77,0.15400000000000003,0.024985269128176255,9.854538489176266e-08,1.9709076978352534e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.78,0.15600000000000003,0.02474631700448203,9.876587430544989e-08,1.975317486108998e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.79,0.15800000000000003,0.024512775240387696,9.898157000923318e-08,1.979631400184664e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.8,0.16000000000000003,0.02428447079336444,9.919261830460637e-08,1.9838523660921277e-08,True
xyce,v200_t100_r0125,0.2,0.2,1.0,0.125,0.81,0.16200000000000003,0.024061237397360023,9.939916010393581e-08,1.9879832020787164e-08,True
